,polyphony,repetitions,tone_span,scale_consistency
0,0.5065372829417774,289,86,0.6744186046511628
1,0.49854622988951347,310,85,0.6744186046511628
2,0.4958501570210857,286,85,0.6744186046511628
3,0.5023291925465838,343,86,0.6705882352941176
4,0.49788986103962946,335,85,0.6744186046511628
5,0.5047791528322769,302,85,0.6744186046511628
6,0.49232468249585865,275,86,0.6666666666666666
7,0.5055650684931506,317,84,0.6705882352941176
8,0.49381135296628254,288,84,0.6705882352941176
9,0.4950428120775124,263,84,0.6705882352941176
10,0.49825122414309986,300,85,0.6744186046511628
11,0.49970873786407766,337,86,0.6744186046511628
12,0.49267217630853993,290,83,0.6666666666666666
13,0.49567889379681196,324,83,0.6666666666666666
14,0.500158177791838,294,85,0.6744186046511628
15,0.5001438572935648,330,85,0.6744186046511628
16,0.5006598314891889,287,86,0.6666666666666666
17,0.4976020462538634,301,85,0.6744186046511628
18,0.4921422663358147,346,86,0.6744186046511628
19,0.49483916224070545,310,87,0.6781609195402298
20,0.4924329501915709,347,86,0.6666666666666666
21,0.49768030366933785,300,85,0.6705882352941176
22,0.4940707523667165,306,85,0.6744186046511628
23,0.4899364406779661,325,85,0.6744186046511628
24,0.49496262593435164,290,85,0.6744186046511628
25,0.4901671129166282,297,85,0.6744186046511628
26,0.4990851799146168,303,86,0.6744186046511628
27,0.49269588313413015,352,86,0.6744186046511628
28,0.5025092734017019,319,86,0.6666666666666666
29,0.49910705893411034,330,85,0.6744186046511628
30,0.49011313330054107,330,85,0.6744186046511628
31,0.4971901501992439,326,85,0.6744186046511628
32,0.508460918614021,323,84,0.6705882352941176
33,0.49037240795598813,319,85,0.6705882352941176
34,0.4939783219590526,328,86,0.6666666666666666
35,0.4960821101423684,314,86,0.6666666666666666
36,0.4956224642323297,260,85,0.6744186046511628
37,0.4955671972597219,312,85,0.6744186046511628
38,0.5003762227238525,327,85,0.6744186046511628
39,0.5013576626479852,273,85,0.6744186046511628
40,0.5035597460073119,343,84,0.6705882352941176
41,0.49794362523823854,353,86,0.6744186046511628
42,0.4978065365211669,303,86,0.6705882352941176
43,0.4984897406520154,303,84,0.6705882352941176
44,0.5006826604251999,336,85,0.6744186046511628
45,0.5128865979381443,349,84,0.6705882352941176
46,0.4980992396958783,312,85,0.6744186046511628
47,0.4964193903782593,348,87,0.6781609195402298
