bins,z_score,p_val,significant
0,3.2274861218395143,0.0012488309880884225,True
1,3.994677309684806,6.478242492632285e-05,True
2,1.002006020070253,0.31634068532105364,False
3,3.7031176282662654,0.00021296607486092535,True
4,1.419904585617662,0.15563546075803855,False
5,2.6835882863313776,0.0072836741310499204,True
6,-9.332738446529383,1.0317019066193319e-20,True
7,2.0161945963637797,0.04377963126225312,True
8,1.002006020070253,0.31634068532105364,False
9,4.134491152973616,3.5574195649950636e-05,True
10,1.002006020070253,0.31634068532105364,False
11,1.002006020070253,0.31634068532105364,False
12,1.002006020070253,0.31634068532105364,False
13,2.6835882863313776,0.0072836741310499204,True
14,1.7425375883933072,0.08141442011758705,False
15,1.419904585617662,0.15563546075803855,False
16,1.419904585617662,0.15563546075803855,False
17,-3.9759228525304664,7.010685189573342e-05,True
18,3.392090233267331,0.0006936159383422362,True
19,1.002006020070253,0.31634068532105364,False
