bins,z_score,p_val,significant
0,1.7425375883933072,0.08141442011758705,False
1,-5.094297578282206,3.500365983058423e-07,True
2,4.134491152973616,3.5574195649950636e-05,True
3,1.419904585617662,0.15563546075803855,False
4,2.8747978728803445,0.004042862198797275,True
5,3.7031176282662654,0.00021296607486092535,True
6,1.002006020070253,0.31634068532105364,False
7,2.2587697572631282,0.023897710679510104,True
8,3.994677309684806,6.478242492632285e-05,True
9,1.419904585617662,0.15563546075803855,False
10,1.7425375883933072,0.08141442011758705,False
11,3.7031176282662654,0.00021296607486092535,True
12,2.2587697572631282,0.023897710679510104,True
13,1.002006020070253,0.31634068532105364,False
14,1.002006020070253,0.31634068532105364,False
15,3.2274861218395143,0.0012488309880884225,True
16,-9.585865942365501,9.168527019611803e-22,True
17,1.002006020070253,0.31634068532105364,False
18,2.2587697572631282,0.023897710679510104,True
19,1.419904585617662,0.15563546075803855,False
