bins,z_score,p_val,significant
0,1.419904585617662,0.15563546075803855,False
1,3.994677309684806,6.478242492632285e-05,True
2,2.4794235184023234,0.013159494860408696,True
3,4.404151646360276,1.0619863911674113e-05,True
4,1.419904585617662,0.15563546075803855,False
5,-11.446269293762995,2.4548485233926007e-30,True
6,3.7031176282662654,0.00021296607486092535,True
7,1.002006020070253,0.31634068532105364,False
8,2.6835882863313776,0.0072836741310499204,True
9,1.7425375883933072,0.08141442011758705,False
10,3.392090233267331,0.0006936159383422362,True
11,3.2274861218395143,0.0012488309880884225,True
12,1.002006020070253,0.31634068532105364,False
13,2.0161945963637797,0.04377963126225312,True
14,1.002006020070253,0.31634068532105364,False
15,1.002006020070253,0.31634068532105364,False
16,1.002006020070253,0.31634068532105364,False
17,1.419904585617662,0.15563546075803855,False
18,-1.5686966988067668,0.11671862818968537,False
19,1.002006020070253,0.31634068532105364,False
