,polyphony,repetitions,tone_span,scale_consistency
0,0.6428205915464128,341,86,0.6666666666666666
1,0.6517132105367399,341,86,0.6666666666666666
2,0.649757945695643,347,82,0.6746987951807228
3,0.6443498452012384,343,85,0.6705882352941176
4,0.6338388625592417,342,86,0.6666666666666666
5,0.6362443982948957,310,86,0.6744186046511628
6,0.6467915327496399,305,84,0.6705882352941176
7,0.645675648400444,346,86,0.6744186046511628
8,0.641812383151875,288,86,0.6666666666666666
9,0.6466413434626149,344,85,0.6744186046511628
10,0.6355279041693751,413,84,0.6785714285714286
11,0.6528007346189164,348,85,0.6744186046511628
12,0.6435216922926256,342,84,0.6705882352941176
13,0.6513960703205791,329,85,0.6744186046511628
14,0.6434876210979548,294,85,0.6744186046511628
15,0.6394333191308053,321,83,0.6666666666666666
16,0.6429744825320337,316,85,0.6705882352941176
17,0.6508067852709971,323,85,0.6744186046511628
18,0.6378886633187306,314,84,0.6785714285714286
19,0.6311202843710584,314,84,0.6705882352941176
20,0.6394881556683587,318,84,0.6705882352941176
21,0.6357976653696498,355,84,0.6705882352941176
22,0.6346003789989968,348,84,0.6785714285714286
23,0.6286816599228381,361,86,0.6705882352941176
24,0.6386679920477137,393,85,0.6744186046511628
25,0.6516493873704052,355,84,0.6705882352941176
26,0.6440586001085187,359,84,0.6705882352941176
27,0.642483922829582,332,84,0.6705882352941176
28,0.6351538379644416,356,86,0.6785714285714286
29,0.6377126654064272,417,85,0.6744186046511628
30,0.6430751621518505,414,84,0.6785714285714286
31,0.6448689956331878,287,86,0.6666666666666666
32,0.6377545951316443,404,86,0.6744186046511628
33,0.6365981844242714,386,84,0.6705882352941176
34,0.6349221981485129,366,84,0.6705882352941176
35,0.6400499064254522,343,86,0.6744186046511628
36,0.6394711992445703,354,86,0.6666666666666666
37,0.6418181818181818,322,83,0.6666666666666666
38,0.6370571113118538,358,84,0.6746987951807228
39,0.6401869158878505,325,83,0.6746987951807228
40,0.6445210487830356,346,85,0.6666666666666666
41,0.6372497641756629,353,84,0.6705882352941176
42,0.648909913615796,340,84,0.6705882352941176
43,0.44538370096420554,320,85,0.6785714285714286
44,0.6486574274577739,289,84,0.6705882352941176
45,0.6333269707959535,399,82,0.6746987951807228
46,0.6418939470749265,309,84,0.6705882352941176
47,0.6416990613444581,409,84,0.6705882352941176
48,0.6435741864313292,313,86,0.6823529411764706
49,0.651239493563145,321,85,0.6744186046511628
50,0.6328604936892661,339,83,0.6666666666666666
51,0.6492058794515142,361,86,0.6744186046511628
52,0.4861268403171008,266,81,0.6790123456790124
53,0.553248885761201,318,83,0.6746987951807228
54,0.4748603351955307,282,84,0.6867469879518072
55,0.6542859843115018,364,84,0.6705882352941176
56,0.642774230992455,371,84,0.6705882352941176
57,0.6425598816239712,365,84,0.6705882352941176
58,0.6473926230310145,394,85,0.6744186046511628
59,0.6451410001048328,304,85,0.6705882352941176
60,0.6485482781904118,321,86,0.6666666666666666
61,0.6370394311570782,368,83,0.6666666666666666
62,0.6423327040067128,359,84,0.6705882352941176
63,0.6438531133581692,329,85,0.6744186046511628
64,0.6400121310149616,328,84,0.6705882352941176
65,0.6409026798307476,349,83,0.6666666666666666
66,0.6511717249327699,368,84,0.6705882352941176
67,0.6455270894582108,352,84,0.6705882352941176
68,0.6468044209514656,361,84,0.6705882352941176
69,0.647070199187778,369,84,0.6705882352941176
70,0.6429459291485394,329,84,0.6705882352941176
71,0.6433404018984146,374,84,0.6705882352941176
72,0.6308819103040032,329,83,0.6666666666666666
73,0.6430252460419341,344,85,0.6744186046511628
74,0.6447095435684648,338,84,0.6785714285714286
75,0.6464839361941137,285,85,0.6705882352941176
76,0.630879345603272,302,85,0.6705882352941176
77,0.6313488059199461,316,85,0.6705882352941176
78,0.6363244176013805,307,84,0.6705882352941176
79,0.6400153757447626,388,84,0.6785714285714286
80,0.6463087248322148,296,84,0.6705882352941176
81,0.6430523028883685,371,85,0.6744186046511628
82,0.6341937574252079,350,86,0.6744186046511628
83,0.6412870638855112,365,83,0.6666666666666666
84,0.4835001352447931,267,81,0.6707317073170732
85,0.6387138126268561,304,85,0.6744186046511628
86,0.6387198321091291,310,84,0.6705882352941176
87,0.6387637506547931,325,84,0.6746987951807228
88,0.6325060935076445,323,84,0.6785714285714286
89,0.6450353291186315,382,84,0.6785714285714286
90,0.6434543454345435,316,83,0.6746987951807228
91,0.6441144114411441,380,86,0.6666666666666666
92,0.6493025070724807,419,83,0.6666666666666666
93,0.4586786644565475,333,84,0.6746987951807228
94,0.6243743199129489,296,84,0.6705882352941176
95,0.6481204506929903,345,84,0.6705882352941176
96,0.6353814355505449,392,86,0.6666666666666666
97,0.6435020797402861,321,83,0.6746987951807228
98,0.6536365344859989,399,86,0.6705882352941176
99,0.6380782584216946,378,84,0.6705882352941176
100,0.6445043426175502,347,85,0.6744186046511628
101,0.6474046029690147,326,85,0.6744186046511628
102,0.634388232672164,353,85,0.6744186046511628
103,0.6469049694856146,389,84,0.6705882352941176
104,0.6504702194357367,357,85,0.6744186046511628
105,0.6292982103358133,343,85,0.6705882352941176
106,0.639708001152627,357,84,0.6705882352941176
107,0.637697176730634,361,86,0.6705882352941176
108,0.6430008045052292,350,85,0.6744186046511628
109,0.6437262727538207,386,85,0.6744186046511628
110,0.6600970285021225,339,84,0.6785714285714286
111,0.6439933026370867,318,84,0.6705882352941176
112,0.64419795221843,312,85,0.6744186046511628
113,0.6430365920262152,321,85,0.6705882352941176
114,0.6412019593067069,393,86,0.6666666666666666
115,0.6411864767169891,329,86,0.6744186046511628
116,0.6504183693325549,382,83,0.6666666666666666
117,0.6114495798319328,316,85,0.6744186046511628
118,0.6313860971524288,345,85,0.6744186046511628
119,0.6413903636181508,349,86,0.6666666666666666
120,0.6403909486879847,352,84,0.6705882352941176
121,0.6426303390351327,337,86,0.6666666666666666
122,0.6399602385685885,363,85,0.6744186046511628
123,0.6477079796264855,316,83,0.6666666666666666
124,0.6479504289799809,337,85,0.6744186046511628
