,polyphony,repetitions,tone_span,scale_consistency
0,0.5295632698768197,321,85,0.6744186046511628
1,0.3847388386343741,205,84,0.6746987951807228
2,0.5332384185740883,343,85,0.6744186046511628
3,0.5224533333333333,363,84,0.6705882352941176
4,0.5379746835443038,412,84,0.6705882352941176
5,0.5398822813070834,355,84,0.6666666666666666
6,0.5477707006369427,398,84,0.6705882352941176
7,0.5352439969016266,382,84,0.6705882352941176
8,0.5325790483887262,349,86,0.6744186046511628
9,0.5360093200593095,352,84,0.6705882352941176
10,0.5418609168609169,343,86,0.6744186046511628
11,0.5331072807761138,374,84,0.6705882352941176
12,0.5335029686174725,347,84,0.6705882352941176
13,0.5332976445396146,341,85,0.6705882352941176
14,0.5396145610278372,382,84,0.6705882352941176
15,0.5164823479370481,317,85,0.6744186046511628
16,0.5423823749066468,352,85,0.6744186046511628
17,0.5420135527589545,365,84,0.6705882352941176
18,0.4977370445802218,272,84,0.6705882352941176
19,0.5323100878656434,325,84,0.6785714285714286
20,0.5366421093447072,344,84,0.6705882352941176
21,0.5358604350635365,310,83,0.6666666666666666
22,0.369542998977953,236,83,0.6666666666666666
23,0.3890197050439955,314,85,0.6666666666666666
24,0.5443837165473049,390,85,0.6744186046511628
25,0.5321824381926684,331,86,0.6705882352941176
26,0.5430124385909899,338,84,0.6785714285714286
27,0.5443155932905364,352,84,0.6705882352941176
28,0.5454206304793882,393,84,0.6705882352941176
29,0.5372519249539096,322,84,0.6705882352941176
30,0.5319729265582382,344,86,0.6666666666666666
31,0.5333066613322665,312,84,0.6705882352941176
32,0.5330900483282375,331,84,0.6705882352941176
33,0.3927029039463887,222,81,0.6790123456790124
34,0.5355318160705992,401,87,0.6781609195402298
35,0.5370967741935484,296,84,0.6785714285714286
36,0.535744954916273,326,86,0.6666666666666666
37,0.5410366044425905,334,84,0.6785714285714286
38,0.5345965309200603,368,85,0.6705882352941176
39,0.5440451021846371,344,82,0.6746987951807228
40,0.537888198757764,388,84,0.6705882352941176
41,0.5354788677782086,335,85,0.6744186046511628
42,0.5431635947099864,318,84,0.6705882352941176
43,0.5266211951542299,333,85,0.6705882352941176
44,0.541452677916361,330,84,0.6705882352941176
