,polyphony,repetitions,tone_span,scale_consistency
0,0.424400417101147,564,81,0.6790123456790124
1,0.44335839598997495,570,82,0.6790123456790124
2,0.4175603217158177,543,79,0.6753246753246753
3,0.44872938029424875,681,82,0.6707317073170732
4,0.4140263840342767,659,82,0.6666666666666666
5,0.4115028275779088,712,82,0.675
6,0.44890202702702703,689,82,0.6790123456790124
7,0.39985854061063303,617,80,0.6708860759493671
8,0.44661983185534954,662,82,0.6829268292682927
9,0.4459803564932703,578,80,0.6708860759493671
10,0.41626848691695106,703,78,0.6794871794871795
11,0.45380741958688725,775,81,0.6790123456790124
12,0.4135460761966786,802,81,0.6666666666666666
13,0.47007603630120187,554,78,0.6753246753246753
14,0.4090266320999293,720,82,0.6707317073170732
15,0.4474967296943751,640,83,0.6746987951807228
16,0.4271876719867914,625,80,0.6666666666666666
17,0.43304906412670285,711,78,0.6708860759493671
18,0.41264454499748615,626,81,0.675
19,0.4659193402911996,601,84,0.6746987951807228
20,0.4521180712032447,620,83,0.6666666666666666
21,0.4357177974434612,562,81,0.6875
22,0.4386985848432747,553,83,0.6746987951807228
23,0.4402869757174393,632,83,0.6790123456790124
24,0.46231101511879047,688,80,0.6666666666666666
25,0.43133438754409437,670,79,0.675
26,0.42793846153846155,575,82,0.6708860759493671
27,0.430616205725376,580,83,0.6790123456790124
28,0.4364051789794364,713,80,0.675
29,0.428183277757194,545,80,0.6666666666666666
30,0.4144635447540012,707,82,0.675
31,0.4466121495327103,627,83,0.675
32,0.4482677902621723,579,78,0.6794871794871795
33,0.43681074914437823,633,83,0.6790123456790124
34,0.4472318339100346,724,81,0.6835443037974683
35,0.4403241650294695,564,78,0.6842105263157895
36,0.4556671101971695,607,79,0.6666666666666666
37,0.453933627291715,586,77,0.6753246753246753
38,0.47997529084731805,738,83,0.6666666666666666
39,0.4254163221920397,656,77,0.6842105263157895
40,0.4368792760979916,641,81,0.675
41,0.4477363515312916,618,82,0.6746987951807228
42,0.43091391367253434,634,79,0.6794871794871795
43,0.45570353213665316,667,82,0.675
44,0.4372873116188624,627,80,0.6666666666666666
45,0.4096719729860106,624,81,0.6753246753246753
46,0.4108832807570978,557,79,0.675
47,0.3928325292901447,713,80,0.6835443037974683
48,0.4206321231347668,643,82,0.6790123456790124
49,0.41426125244618395,703,81,0.675
50,0.4751690370715785,618,80,0.675
51,0.41020250082992143,686,82,0.6707317073170732
52,0.4793273350471294,713,81,0.6790123456790124
53,0.4550618530674072,565,81,0.675
54,0.43146917258766904,683,79,0.6708860759493671
55,0.42492542260523697,648,84,0.6785714285714286
56,0.4570613055348722,582,84,0.6746987951807228
57,0.44605059370160044,519,81,0.6790123456790124
58,0.4339887640449438,627,82,0.6829268292682927
59,0.42242622950819675,595,83,0.6829268292682927
60,0.4463091648092304,499,81,0.6794871794871795
61,0.44532715436389714,679,81,0.6707317073170732
62,0.46293991173475163,654,86,0.6746987951807228
63,0.39809344790547796,607,79,0.675
64,0.4377730620396954,556,81,0.675
65,0.4414681262073406,615,80,0.675
66,0.4619217852887011,714,83,0.6790123456790124
67,0.4178878809025355,755,81,0.6923076923076923
68,0.43178942039989876,611,81,0.6666666666666666
69,0.4174757281553398,652,83,0.6829268292682927
70,0.46623547467660603,653,83,0.6707317073170732
71,0.4199395770392749,588,79,0.6708860759493671
72,0.4268102932375823,690,78,0.6708860759493671
73,0.447026139664099,543,82,0.6707317073170732
74,0.4335994602496345,668,79,0.6708860759493671
75,0.4072709408007861,695,82,0.6666666666666666
76,0.4725609756097561,500,84,0.6746987951807228
77,0.4035283886197043,628,83,0.6790123456790124
78,0.45637296834901625,678,81,0.675
79,0.4269226620645022,675,81,0.6790123456790124
80,0.43404522613065327,669,85,0.6746987951807228
