bins,z_score,p_val,significant
0,4.27087149743931,1.947105824033851e-05,True
1,1.419904585617662,0.15563546075803855,False
2,-11.518033440636584,1.0702578351007538e-30,True
3,1.002006020070253,0.31634068532105364,False
4,2.6835882863313776,0.0072836741310499204,True
5,1.002006020070253,0.31634068532105364,False
6,2.8747978728803445,0.004042862198797275,True
7,2.8747978728803445,0.004042862198797275,True
8,1.419904585617662,0.15563546075803855,False
9,-1.8435006241317156,0.06525595067549834,False
10,3.994677309684806,6.478242492632285e-05,True
11,1.419904585617662,0.15563546075803855,False
12,1.002006020070253,0.31634068532105364,False
13,3.8510399211870388,0.0001176173222478969,True
14,2.0161945963637797,0.04377963126225312,True
15,1.7425375883933072,0.08141442011758705,False
16,1.002006020070253,0.31634068532105364,False
17,1.002006020070253,0.31634068532105364,False
18,3.7031176282662654,0.00021296607486092535,True
19,1.002006020070253,0.31634068532105364,False
