,polyphony,repetitions,tone_span,scale_consistency
0,0.5023199862519333,331,79,0.6756756756756757
1,0.6658939042683758,368,82,0.6708860759493671
2,0.7619516464281807,512,84,0.6705882352941176
3,0.49912219101123595,348,74,0.6756756756756757
4,0.6622363126447994,443,81,0.675
5,0.5119873191995244,252,77,0.6756756756756757
6,0.5016281062553556,370,79,0.6753246753246753
7,0.4877748099445243,257,78,0.6883116883116883
8,0.6584720537978173,568,83,0.6790123456790124
9,0.7250370736529906,606,85,0.6794871794871795
10,0.49443695212407285,344,78,0.6883116883116883
11,0.6630300024795438,454,82,0.6707317073170732
12,0.4830860534124629,315,72,0.6764705882352942
13,0.47901282549553054,335,68,0.6923076923076923
14,0.494199535962877,289,79,0.6835443037974683
15,0.5109358192900681,347,81,0.6794871794871795
16,0.5048766494549627,298,80,0.6973684210526315
17,0.5053344275748871,289,79,0.6753246753246753
18,0.4904799682665609,301,78,0.6753246753246753
19,0.499124649859944,360,80,0.6794871794871795
20,0.6621546034232016,490,85,0.6705882352941176
21,0.4985496035583059,302,77,0.6710526315789473
22,0.49640287769784175,326,78,0.6753246753246753
23,0.4962948517940718,304,77,0.6753246753246753
24,0.5044669446098868,306,79,0.6666666666666666
25,0.6609946075494308,434,78,0.6708860759493671
26,0.481147393108425,345,77,0.68
27,0.4945054945054945,308,79,0.675
28,0.5011025358324146,335,77,0.6753246753246753
29,0.7587021254748948,558,83,0.6666666666666666
30,0.49045188126299866,307,78,0.6756756756756757
31,0.6611306643202816,485,83,0.6708860759493671
32,0.7573916565411097,594,80,0.6666666666666666
33,0.49356223175965663,322,79,0.6883116883116883
34,0.6614263803680982,417,83,0.675
35,0.6662942687967824,507,78,0.6708860759493671
36,0.5021691973969631,295,78,0.6842105263157895
37,0.5028448106729448,294,79,0.6753246753246753
38,0.48705234159779615,333,79,0.6666666666666666
39,0.7664058424621805,587,84,0.6707317073170732
40,0.6560364464692483,503,83,0.6829268292682927
41,0.500510099979596,278,79,0.6666666666666666
42,0.4930262045646661,292,76,0.6956521739130435
43,0.5006107136625371,341,80,0.675
44,0.5022962112514351,307,79,0.68
45,0.50595340811044,351,81,0.6835443037974683
46,0.5045365593310799,327,80,0.6753246753246753
47,0.4905772664153938,270,77,0.6712328767123288
48,0.6687905209031969,455,79,0.6708860759493671
49,0.4966544355709044,282,76,0.68
50,0.7200383509108341,497,80,0.6666666666666666
51,0.4887309644670051,264,79,0.6666666666666666
52,0.663632963470889,478,82,0.6666666666666666
53,0.6468308884583449,466,73,0.676056338028169
54,0.5032034632034632,330,79,0.6842105263157895
55,0.7711534521614424,523,83,0.6746987951807228
56,0.49510110485720243,232,72,0.6712328767123288
57,0.47527114967462036,272,69,0.6818181818181818
58,0.49528400754558793,243,80,0.6753246753246753
59,0.5018004660029655,249,77,0.68
60,0.737024574283675,678,75,0.6756756756756757
61,0.48972422272966804,318,79,0.6842105263157895
62,0.48551469077460446,300,69,0.6811594202898551
63,0.7446699989799042,676,77,0.6666666666666666
64,0.4932935916542474,305,78,0.6883116883116883
65,0.5071312143439283,292,79,0.6794871794871795
66,0.6693565976008724,547,81,0.6790123456790124
67,0.49938373048479867,274,79,0.6753246753246753
68,0.5065997397285741,326,78,0.6710526315789473
69,0.6674067495559503,531,83,0.6707317073170732
70,0.6590180746058197,433,80,0.6708860759493671
71,0.5083404987102321,334,79,0.6708860759493671
72,0.6549115456238361,497,81,0.6790123456790124
73,0.759013698630137,514,81,0.6707317073170732
74,0.47893652873993636,344,78,0.6714285714285714
75,0.4950607902735562,295,79,0.6753246753246753
76,0.6712930011862396,474,79,0.675
77,0.502990851513019,338,77,0.68
78,0.6460729141179349,530,78,0.6891891891891891
79,0.4869629085567389,323,76,0.6842105263157895
80,0.49576434347323833,314,78,0.6842105263157895
81,0.47980997624703087,309,68,0.6818181818181818
82,0.4929901653065495,283,75,0.6756756756756757
83,0.4852216748768473,313,76,0.68
84,0.4894718058529622,322,78,0.6753246753246753
85,0.6621621621621622,379,82,0.6746987951807228
86,0.4861111111111111,325,71,0.6865671641791045
87,0.4870532848277338,245,80,0.684931506849315
88,0.6610342481288274,467,82,0.675
89,0.4965308663938801,354,80,0.6708860759493671
90,0.5079722703639514,315,78,0.68
91,0.7665940616760288,482,80,0.6666666666666666
92,0.7472478094810155,456,84,0.6790123456790124
93,0.4868052778888445,278,79,0.68
94,0.4757563199336925,303,79,0.6794871794871795
95,0.48963945296311645,241,77,0.6666666666666666
96,0.4931935246504783,315,78,0.6710526315789473
97,0.4951895868704018,315,79,0.68
98,0.5119565217391304,315,79,0.6753246753246753
99,0.7804636417673866,523,84,0.6746987951807228
100,0.6656296931988843,507,83,0.6790123456790124
101,0.498203139776811,317,79,0.6753246753246753
102,0.4854215918045705,297,73,0.6764705882352942
103,0.7661474784881821,502,81,0.6707317073170732
104,0.764750378214826,516,84,0.6705882352941176
105,0.6717287051838319,526,83,0.675
106,0.6659971644612477,431,80,0.6666666666666666
107,0.4957417310358487,279,76,0.6712328767123288
108,0.49778120779471347,300,81,0.6835443037974683
109,0.6585269271383316,406,79,0.675
110,0.5080645161290323,358,79,0.6708860759493671
111,0.5092873388931008,319,82,0.6666666666666666
112,0.4861898016997167,342,77,0.6753246753246753
113,0.6544982056676154,404,81,0.6707317073170732
114,0.47552588996763756,340,77,0.684931506849315
115,0.48298893759131706,280,80,0.68
116,0.4955234788964005,299,79,0.6710526315789473
117,0.6393335936483144,531,79,0.676056338028169
118,0.48097165991902835,289,76,0.6933333333333334
119,0.47448132780082986,288,76,0.68
120,0.5067619783616693,304,79,0.68
121,0.5010498186676847,306,79,0.6666666666666666
122,0.6526315789473685,451,77,0.6666666666666666
123,0.6688460281137627,470,83,0.6746987951807228
124,0.6597655275629832,465,83,0.6790123456790124
