bins,z_score,p_val,significant
0,2.4794235184023234,0.013159494860408696,True
1,3.8510399211870388,0.0001176173222478969,True
2,1.7425375883933072,0.08141442011758705,False
3,-3.386897244748176,0.0007068785796997715,True
4,-9.251256052012513,2.2186986509890708e-20,True
5,3.7031176282662654,0.00021296607486092535,True
6,1.419904585617662,0.15563546075803855,False
7,1.419904585617662,0.15563546075803855,False
8,3.994677309684806,6.478242492632285e-05,True
9,1.002006020070253,0.31634068532105364,False
10,1.002006020070253,0.31634068532105364,False
11,2.6835882863313776,0.0072836741310499204,True
12,1.002006020070253,0.31634068532105364,False
13,1.7425375883933072,0.08141442011758705,False
14,3.7031176282662654,0.00021296607486092535,True
15,1.002006020070253,0.31634068532105364,False
16,2.6835882863313776,0.0072836741310499204,True
17,1.7425375883933072,0.08141442011758705,False
18,1.002006020070253,0.31634068532105364,False
19,1.002006020070253,0.31634068532105364,False
