,polyphony,repetitions,tone_span,scale_consistency
0,0.5312151616499443,750,79,0.6710526315789473
1,0.54738429416541,886,81,0.6835443037974683
2,0.595264686173777,760,77,0.6666666666666666
3,0.5802168621376411,694,77,0.6666666666666666
4,0.5703115882833469,837,78,0.6708860759493671
5,0.5872147182114579,782,76,0.6710526315789473
6,0.5685414173647121,729,78,0.6842105263157895
7,0.5519021739130435,688,77,0.6753246753246753
8,0.5455594002306805,704,80,0.6794871794871795
9,0.5916976456009914,770,82,0.6753246753246753
10,0.5668532743132405,627,78,0.6708860759493671
11,0.5394577094293809,747,80,0.6666666666666666
12,0.5403658368862605,749,74,0.6666666666666666
13,0.5674934278203223,842,82,0.6707317073170732
14,0.5049921177088808,942,84,0.6835443037974683
15,0.5487819806585873,864,78,0.6710526315789473
16,0.5099486098300171,771,80,0.6708860759493671
17,0.5297397769516728,891,82,0.675
18,0.6085655077135621,867,79,0.675
19,0.5316184351554126,893,82,0.6708860759493671
20,0.5415936362410678,794,79,0.6666666666666666
21,0.5390402370910748,969,79,0.6794871794871795
22,0.5442887361184559,715,80,0.6753246753246753
23,0.5874898267643297,827,79,0.6710526315789473
24,0.5808786819770344,689,80,0.6753246753246753
25,0.5491336069311445,918,82,0.6835443037974683
26,0.557569033530572,685,82,0.6875
27,0.5337897806517053,876,79,0.675
28,0.5575383807899226,815,81,0.675
29,0.6047572097609071,700,80,0.6666666666666666
30,0.5288680967594706,912,79,0.675
31,0.547266723737312,744,83,0.6707317073170732
32,0.5542545791792256,815,81,0.6875
33,0.5120906452950117,803,76,0.6756756756756757
34,0.5282651072124757,764,80,0.675
35,0.5634741075917546,643,81,0.675
36,0.5262445887445888,800,79,0.6753246753246753
37,0.5071645081289612,788,78,0.6666666666666666
38,0.5661773481322353,723,82,0.6790123456790124
39,0.5560922593889627,833,77,0.6710526315789473
40,0.536077596404069,831,78,0.6708860759493671
41,0.5195135746606335,795,81,0.6835443037974683
42,0.5773968934118907,603,82,0.6666666666666666
43,0.5160398230088495,796,82,0.6710526315789473
44,0.5635196576624766,681,84,0.6790123456790124
45,0.5626666666666666,961,83,0.6790123456790124
46,0.547945205479452,726,77,0.68
47,0.5068870523415978,974,78,0.6708860759493671
48,0.5376196990424077,734,76,0.68
49,0.5737348294023357,758,79,0.675
50,0.5468053491827637,915,80,0.675
51,0.5493299298021698,692,79,0.6794871794871795
52,0.5612455905607591,906,78,0.6794871794871795
53,0.49631756335039323,791,78,0.6794871794871795
54,0.5076088394865688,837,74,0.676056338028169
55,0.5400935325653017,850,80,0.6666666666666666
56,0.5517377049180328,958,80,0.6708860759493671
57,0.48816412414518673,732,80,0.675
58,0.5788370874803562,589,77,0.68
59,0.5391429255446493,729,81,0.6794871794871795
60,0.5278564683663833,818,84,0.6829268292682927
61,0.5207379301321471,807,82,0.6666666666666666
62,0.5855801636976409,774,82,0.6708860759493671
63,0.5467150447064921,699,78,0.6708860759493671
64,0.5437473918486577,715,78,0.6794871794871795
65,0.554595632349412,849,78,0.6710526315789473
66,0.5940428380187416,866,80,0.6708860759493671
67,0.5501629844259326,801,83,0.6707317073170732
68,0.5637175324675324,713,79,0.6708860759493671
69,0.5374895696745738,982,76,0.6710526315789473
70,0.5543816876608425,696,80,0.6710526315789473
71,0.46289178001182735,638,79,0.6794871794871795
72,0.5820642978003384,859,79,0.6666666666666666
73,0.5566159401599174,679,76,0.684931506849315
74,0.5240391641093087,737,80,0.6753246753246753
75,0.5485639375521392,734,79,0.6708860759493671
76,0.5462750909335848,685,80,0.6794871794871795
77,0.5761166818596172,929,83,0.6707317073170732
78,0.5629690271524083,775,86,0.6707317073170732
79,0.5752300698525336,840,80,0.6666666666666666
80,0.49770349578974227,938,76,0.6710526315789473
81,0.5648403626330312,691,82,0.6708860759493671
82,0.5382071571985355,756,82,0.6666666666666666
83,0.537828947368421,758,82,0.6883116883116883
84,0.564791034321737,747,82,0.6790123456790124
85,0.5678735567761461,930,82,0.6829268292682927
86,0.533271612081935,801,81,0.6923076923076923
87,0.5614897193844562,768,83,0.675
88,0.5670978172999191,806,82,0.675
89,0.5109228121276314,900,81,0.675
90,0.5570232801464818,743,81,0.6835443037974683
91,0.5347222222222222,691,75,0.68
92,0.613787656549701,805,81,0.6794871794871795
93,0.5710459354493103,628,80,0.6666666666666666
94,0.5374502472560608,761,78,0.68
95,0.562106821265573,870,81,0.6835443037974683
96,0.6102570564516129,790,77,0.6666666666666666
97,0.5312580066615424,804,75,0.6710526315789473
98,0.5233398166157266,760,81,0.6835443037974683
99,0.5971786833855799,949,83,0.6829268292682927
100,0.5544450900639163,857,82,0.6794871794871795
101,0.5188042430086789,766,80,0.6666666666666666
102,0.5760589749590451,767,82,0.675
103,0.5768520959662536,763,79,0.6794871794871795
104,0.5031146454605699,825,76,0.6710526315789473
105,0.5777002646139042,750,76,0.68
106,0.590211026405922,877,78,0.6753246753246753
107,0.5307142046099693,974,80,0.6794871794871795
108,0.5571467915174882,678,77,0.68
109,0.5670767428236673,827,81,0.6835443037974683
110,0.5535860058309038,746,80,0.6708860759493671
111,0.5403525046382189,839,74,0.6666666666666666
112,0.5381653142621372,667,75,0.6756756756756757
113,0.5220002793686269,777,82,0.6790123456790124
114,0.5655444567764213,702,82,0.675
115,0.6125805734607691,822,81,0.6790123456790124
116,0.5436115040075437,848,82,0.6746987951807228
117,0.5711555612179896,771,81,0.6962025316455697
118,0.5027826795167639,804,75,0.6710526315789473
119,0.5571122049728638,792,78,0.6753246753246753
120,0.5758393608981971,985,84,0.6875
121,0.5461206332591915,640,80,0.675
122,0.5254259331512551,683,71,0.6666666666666666
123,0.5104654026101946,898,88,0.675
124,0.5319674513222901,738,80,0.6835443037974683
