bins,z_score,p_val,significant
0,3.7031176282662654,0.00021296607486092535,True
1,2.6835882863313776,0.0072836741310499204,True
2,1.002006020070253,0.31634068532105364,False
3,4.134491152973616,3.5574195649950636e-05,True
4,-10.379498549919608,3.0738546017492417e-25,True
5,1.002006020070253,0.31634068532105364,False
6,-2.040336178513692,0.041316853772734176,True
7,1.7425375883933072,0.08141442011758705,False
8,1.419904585617662,0.15563546075803855,False
9,1.419904585617662,0.15563546075803855,False
10,2.6835882863313776,0.0072836741310499204,True
11,1.419904585617662,0.15563546075803855,False
12,1.419904585617662,0.15563546075803855,False
13,2.4794235184023234,0.013159494860408696,True
14,3.7031176282662654,0.00021296607486092535,True
15,1.002006020070253,0.31634068532105364,False
16,3.7031176282662654,0.00021296607486092535,True
17,1.002006020070253,0.31634068532105364,False
18,1.002006020070253,0.31634068532105364,False
19,1.7425375883933072,0.08141442011758705,False
