,polyphony,repetitions,tone_span,scale_consistency
0,0.3865010073875084,586,80,0.6666666666666666
1,0.4063404050144648,507,79,0.675
2,0.4006187161639598,526,82,0.6746987951807228
3,0.39239683743095416,582,82,0.6790123456790124
4,0.3862964391309937,470,85,0.6705882352941176
5,0.4212594128560515,525,83,0.6707317073170732
6,0.39726334679228353,617,83,0.6746987951807228
7,0.4071849092875165,523,78,0.6708860759493671
8,0.4057873485868102,527,83,0.6707317073170732
9,0.3589656729900632,558,77,0.6666666666666666
10,0.39282015878494997,509,81,0.675
11,0.4238205723124517,496,82,0.6790123456790124
12,0.37528390113560456,505,80,0.675
13,0.4036314424269764,556,83,0.6707317073170732
14,0.4428960261295591,561,81,0.6790123456790124
15,0.4164252424738632,465,83,0.6666666666666666
16,0.3950792524248876,516,84,0.6707317073170732
17,0.3757430269775949,565,82,0.6707317073170732
18,0.3751727603970348,477,82,0.6746987951807228
19,0.41732283464566927,504,83,0.6666666666666666
20,0.3803100970629018,522,80,0.6666666666666666
21,0.3934952391141543,626,84,0.6746987951807228
22,0.4005963029218843,527,82,0.6790123456790124
23,0.3967475477542592,465,77,0.6666666666666666
24,0.4204749103942652,563,82,0.6707317073170732
25,0.39940323955669227,579,82,0.6746987951807228
26,0.40044994375703036,559,82,0.6707317073170732
27,0.4462081128747795,395,80,0.675
28,0.3988657844990548,521,82,0.6707317073170732
29,0.41113622354633245,620,82,0.675
30,0.3968026460859978,557,80,0.6708860759493671
31,0.400893355667225,542,79,0.675
32,0.38029171113482746,526,83,0.6707317073170732
33,0.4047791455467053,552,85,0.6666666666666666
34,0.402595841845932,476,82,0.6746987951807228
35,0.40269941365195266,557,83,0.6746987951807228
36,0.4294073837642302,569,83,0.6707317073170732
37,0.3700164744645799,543,102,0.6744186046511628
38,0.4014060551082889,523,83,0.6746987951807228
39,0.4065020474004219,420,82,0.6746987951807228
40,0.37309322033898307,571,79,0.6835443037974683
41,0.4091387660560118,527,82,0.675
42,0.4285863110740702,559,84,0.6707317073170732
43,0.37782340862423,537,77,0.6753246753246753
44,0.3765425110381524,512,79,0.675
45,0.4119060622610595,558,82,0.6790123456790124
46,0.4084910358565737,468,80,0.6666666666666666
47,0.3821208517998054,569,80,0.6708860759493671
48,0.3978480850518765,485,82,0.675
49,0.4437825763216679,457,83,0.6666666666666666
50,0.3885350318471338,548,80,0.6708860759493671
51,0.4224997261474422,536,83,0.6746987951807228
52,0.39013785790031813,568,81,0.6707317073170732
53,0.4196642685851319,505,82,0.6707317073170732
54,0.42027757177667124,577,82,0.6666666666666666
55,0.42296918767507,525,80,0.6666666666666666
56,0.3803577455281809,588,83,0.6707317073170732
57,0.38465729541244414,620,80,0.6666666666666666
58,0.3620604259534423,469,83,0.6746987951807228
59,0.4075249320036265,536,83,0.6666666666666666
60,0.4047817295111217,457,81,0.6790123456790124
61,0.4310736295815764,581,84,0.6867469879518072
62,0.4330856963482264,546,82,0.6746987951807228
63,0.3911536036982559,590,85,0.6746987951807228
64,0.42533880392888224,458,85,0.6746987951807228
65,0.3884103367267032,539,86,0.6790123456790124
66,0.4263936797596528,526,80,0.6708860759493671
67,0.41617875492890427,461,84,0.6951219512195121
68,0.3437764606265876,546,81,0.6707317073170732
69,0.4076177748078851,532,82,0.6746987951807228
70,0.4167810026385224,612,84,0.6746987951807228
71,0.371977895463965,636,81,0.675
72,0.408772697440385,544,81,0.6790123456790124
73,0.3607130768362857,603,82,0.6707317073170732
74,0.4065721649484536,577,86,0.6705882352941176
75,0.45916302843147694,524,83,0.6746987951807228
76,0.40130343532530655,576,82,0.6829268292682927
77,0.40958555221116,529,80,0.6666666666666666
78,0.4108114108114108,607,82,0.6666666666666666
79,0.42942453854505974,534,83,0.6707317073170732
80,0.4317752858887532,525,83,0.6746987951807228
81,0.4102807684188305,574,84,0.6705882352941176
82,0.4292083514571553,551,85,0.6705882352941176
83,0.38273598105693685,551,82,0.6707317073170732
84,0.39575033200531207,548,81,0.6707317073170732
85,0.4067326254826255,457,83,0.6746987951807228
86,0.4129671031619291,582,86,0.6666666666666666
87,0.4282422646477946,529,81,0.6707317073170732
88,0.4388984509466437,517,84,0.6785714285714286
89,0.4089430894308943,529,87,0.6744186046511628
90,0.41257303613936375,585,82,0.6746987951807228
91,0.41274498298321793,490,84,0.6705882352941176
92,0.36931534232883556,496,82,0.6707317073170732
93,0.38100609068351005,583,79,0.675
94,0.4376327769347496,588,82,0.6707317073170732
95,0.3827893175074184,531,81,0.675
96,0.40510144927536235,543,82,0.6829268292682927
97,0.423121754794956,527,82,0.6707317073170732
98,0.4008913412563667,565,82,0.6746987951807228
99,0.40027573529411764,474,79,0.675
100,0.4106523040095751,479,84,0.6790123456790124
101,0.41341943957968474,539,82,0.6746987951807228
102,0.39584850691915513,529,77,0.68
103,0.4321046944411094,508,84,0.6785714285714286
104,0.384742586263918,555,79,0.675
105,0.42085992258604454,547,84,0.6746987951807228
106,0.36369747899159666,550,83,0.6666666666666666
107,0.41585818660917473,511,83,0.6829268292682927
108,0.4023029021266596,496,81,0.6707317073170732
109,0.41332616872649114,612,82,0.6746987951807228
110,0.3924002047082907,455,81,0.6707317073170732
111,0.363151207115629,571,82,0.6708860759493671
112,0.3864341499946507,652,82,0.6707317073170732
113,0.4162650602409639,472,82,0.6707317073170732
114,0.401266807423047,535,81,0.6707317073170732
115,0.3938544079990245,524,83,0.6746987951807228
116,0.42650128945106225,553,80,0.6666666666666666
117,0.4476681453063182,464,81,0.6707317073170732
118,0.385002094679514,626,82,0.6829268292682927
119,0.3690067479578549,558,83,0.6666666666666666
120,0.36359269932756966,561,83,0.675
121,0.41737567405632114,510,81,0.6707317073170732
122,0.40995464018634303,560,82,0.6707317073170732
123,0.43045604458091663,523,82,0.6746987951807228
124,0.408566029813143,567,83,0.6746987951807228
